Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-01T09:30:00+01:00;1;Burgenland;12657;239;11701;43;10;638575;155435;483140
2021-03-01T09:30:00+01:00;2;Kärnten;29225;683;27316;96;15;675557;217933;457624
2021-03-01T09:30:00+01:00;3;Niederösterreich;74538;1350;67900;349;82;3400756;1141984;2258772
2021-03-01T09:30:00+01:00;4;Oberösterreich;86409;1515;82567;120;20;2162517;546777;1615740
2021-03-01T09:30:00+01:00;5;Salzburg;37327;493;35318;71;15;823353;274598;548755
2021-03-01T09:30:00+01:00;6;Steiermark;55956;1747;51265;200;35;1758065;503274;1254791
2021-03-01T09:30:00+01:00;7;Tirol;48060;579;46304;81;21;1521757;579890;941867
2021-03-01T09:30:00+01:00;8;Vorarlberg;23859;274;23199;30;7;825612;298572;527040
2021-03-01T09:30:00+01:00;9;Wien;92818;1694;86446;363;85;3197153;1677203;1519950
2021-03-01T09:30:00+01:00;10;Österreich;460849;8574;432016;1353;290;15003345;5395666;9607679
2021-03-02T09:30:00+01:00;1;Burgenland;12742;240;11748;46;10;645941;155933;490008
2021-03-02T09:30:00+01:00;2;Kärnten;29410;686;27446;91;16;704089;219190;484899
2021-03-02T09:30:00+01:00;3;Niederösterreich;74893;1357;68352;381;78;3471229;1147138;2324091
2021-03-02T09:30:00+01:00;4;Oberösterreich;86664;1518;82820;130;16;2241062;548394;1692668
2021-03-02T09:30:00+01:00;5;Salzburg;37564;496;35417;73;15;847370;275923;571447
2021-03-02T09:30:00+01:00;6;Steiermark;56261;1753;51636;207;39;1801508;505525;1295983
2021-03-02T09:30:00+01:00;7;Tirol;48223;579;46410;87;24;1539898;583765;956133
2021-03-02T09:30:00+01:00;8;Vorarlberg;23900;276;23199;27;5;842170;299159;543011
2021-03-02T09:30:00+01:00;9;Wien;93112;1700;86845;385;93;3264872;1721257;1543615
2021-03-02T09:30:00+01:00;10;Österreich;462769;8605;433873;1427;296;15358139;5456284;9901855
2021-03-03T09:30:00+01:00;1;Burgenland;12877;240;11825;54;13;656824;156596;500228
2021-03-03T09:30:00+01:00;2;Kärnten;29602;688;27540;95;17;708065;220503;487562
2021-03-03T09:30:00+01:00;3;Niederösterreich;75496;1361;68751;371;81;3525810;1153997;2371813
2021-03-03T09:30:00+01:00;4;Oberösterreich;86954;1519;83073;124;21;2276421;550375;1726046
2021-03-03T09:30:00+01:00;5;Salzburg;37720;497;35546;69;16;859248;277381;581867
2021-03-03T09:30:00+01:00;6;Steiermark;56543;1761;51903;200;35;1852502;508297;1344205
2021-03-03T09:30:00+01:00;7;Tirol;48394;579;46516;83;24;1552380;588092;964288
2021-03-03T09:30:00+01:00;8;Vorarlberg;23934;276;23261;29;6;855489;300574;554915
2021-03-03T09:30:00+01:00;9;Wien;93802;1704;87254;390;100;3316131;1751657;1564474
2021-03-03T09:30:00+01:00;10;Österreich;465322;8625;435669;1415;313;15602870;5507472;10095398
2021-03-04T09:30:00+01:00;1;Burgenland;12963;241;11881;51;13;665306;157400;507906
2021-03-04T09:30:00+01:00;2;Kärnten;29774;691;27623;96;16;709254;221614;487640
2021-03-04T09:30:00+01:00;3;Niederösterreich;76018;1369;69037;376;84;3580743;1164883;2415860
2021-03-04T09:30:00+01:00;4;Oberösterreich;87365;1521;83321;118;21;2332134;552588;1779546
2021-03-04T09:30:00+01:00;5;Salzburg;37862;498;35638;71;15;871522;278819;592703
2021-03-04T09:30:00+01:00;6;Steiermark;56881;1764;52212;200;35;1899187;509514;1389673
2021-03-04T09:30:00+01:00;7;Tirol;48543;579;46590;78;24;1569811;591254;978557
2021-03-04T09:30:00+01:00;8;Vorarlberg;23988;276;23287;28;4;868793;301846;566947
2021-03-04T09:30:00+01:00;9;Wien;94252;1713;87613;407;90;3367370;1779673;1587697
